	0
743	ETHE1
744	ETNK1
745	ETS1
746	ETS2
747	EVI2B
748	EVL
749	EWSR1
750	EXOSC2
751	EXOSC3
752	EXOSC4
753	EXOSC5
754	EZH2
755	EZR
756	F12
757	FABP5
758	FAM107B
759	FAM110A
760	FAM111A
761	FAM120A
762	FAM122B
763	FAM133B
764	FAM136A
765	FAM162A
766	FAM177A1
767	FAM189B
768	FAM204A
769	FAM207A
770	FAM220A
771	FAM32A
772	FAM49A
773	FAM49B
774	FAM50A
775	FAM83H
776	FAM91A1
777	FANCF
778	FARSA
779	FARSB
780	FASTK
781	FAU
782	FBL
783	FBXL5
784	FBXO32
785	FBXO45
786	FBXO7
787	FBXW5
788	FBXW9
789	FCER1G
790	FCGRT
791	FCHO1
792	FDFT1
793	FDPS
794	FDX1
795	FDXR
796	FEN1
797	FERMT3
798	FGFR1OP2
799	FGL2
800	FIBP
801	FIS1
802	FKBP11
803	FKBP1A
804	FKBP2
805	FKBP3
806	FKBP4
807	FKBP5
808	FKBP8
809	FLAD1
810	FLNA
811	FLOT1
812	FMNL1
813	FNBP1
814	FNBP4
815	FOS
816	FOSB
817	FOSL2
818	FOXK2
819	FOXN3
820	FOXP1
821	FRG1
822	FRYL
823	FTH1
824	FTL
825	FTSJ1
826	FUBP1
827	FUNDC2
828	FUS
829	FXR1
830	FXYD5
831	FYCO1
832	FYN
833	G3BP1
834	G3BP2
835	GABARAP
836	GABARAPL1
837	GABARAPL2
838	GADD45A
839	GADD45B
840	GADD45GIP1
841	GALNT6
842	GAPDH
843	GAR1
844	GARS
845	GART
846	GAS7
847	GBP2
848	GCAT
849	GCC2
850	GCHFR
851	GDI2
852	GGCT
853	GGH
854	GHITM
855	GID8
856	GIGYF1
857	GIMAP7
858	GIT1
859	GLA
860	GLG1
861	GLIPR1
862	GLO1
863	GLRX
864	GLRX5
865	GLS
866	GLUD1
867	GLUL
868	GMDS
869	GMFG
870	GMNN
871	GMPPA
872	GMPS
873	GNAI2
874	GNAI3
875	GNAQ
876	GNAS
877	GNB1
878	GNB2
879	GNG5
880	GNL2
881	GNL3
882	GNPDA1
883	GNPNAT1
884	GOLGA4
885	GOLGA7
886	GOLGA8A
887	GOLGB1
888	GOLM1
889	GOT1
890	GPAA1
891	GPATCH4
892	GPATCH8
893	GPBP1
894	GPBP1L1
895	GPD1L
896	GPI
897	GPR183
898	GPS1
899	GPSM3
900	GPT2
901	GPX4
902	GRAMD1A
903	GRB2
904	GRINA
905	GRN
906	GSDMD
907	GSN
908	GSPT1
909	GSS
910	GSTK1
911	GSTO1
912	GSTP1
913	GTF2A2
914	GTF2B
915	GTF2H5
916	GTF2I
917	GTF3A
918	GTF3C6
919	GTPBP3
920	GTPBP4
921	GUK1
922	GUSB
923	GYPC
924	H1F0
925	H1FX
926	H2AFJ
927	H2AFV
928	H2AFX
929	H2AFY
930	H2AFZ
931	H3F3A
932	H3F3B
933	HADHA
934	HADHB
935	HAGHL
936	HAUS5
937	HAX1
938	HBEGF
939	HBP1
940	HCLS1
941	HCST
942	HDAC1
943	HDAC2
944	HDGF
945	HDLBP
946	HEATR1
947	HEBP2
948	HECTD1
949	HELLS
950	HELZ
951	HERPUD1
952	HES1
953	HEXB
954	HEXIM1
955	HGS
956	HIF1A
957	HIGD2A
958	HILPDA
959	HINT1
960	HINT2
961	HIST1H1C
962	HIST1H2AC
963	HIST1H4C
964	HLA-A
965	HLA-C
966	HLA-DMA
967	HLA-DMB
968	HLA-DQB1
969	HLA-DRB1
970	HLA-DRB5
971	HLA-F
972	HM13
973	HMBS
974	HMGA1
975	HMGB1
976	HMGB2
977	HMGB3
978	HMGN1
979	HMGN2
980	HMGN3
981	HNRNPA0
982	HNRNPA1
983	HNRNPA2B1
984	HNRNPA3
985	HNRNPAB
986	HNRNPC
987	HNRNPD
988	HNRNPDL
989	HNRNPF
990	HNRNPH1
991	HNRNPH2
992	HNRNPH3
993	HNRNPK
994	HNRNPL
995	HNRNPM
996	HNRNPR
997	HNRNPU
998	HNRNPUL1
999	HOMER3
1000	HOPX
1001	HP1BP3
1002	HPCAL1
1003	HPGD
1004	HPRT1
1005	HRAS
1006	HSBP1
1007	HSD17B10
1008	HSD17B11
1009	HSF1
1010	HSP90AA1
1011	HSP90AB1
1012	HSP90B1
1013	HSPA1A
1014	HSPA1B
1015	HSPA2
1016	HSPA5
1017	HSPA8
1018	HSPA9
1019	HSPB1
1020	HSPB11
1021	HSPBP1
1022	HSPD1
1023	HSPE1
1024	HSPH1
1025	HTATIP2
1026	IAH1
1027	ICA1
1028	ICAM2
1029	ICAM3
1030	ID1
1031	ID2
1032	ID3
1033	IDH2
1034	IDH3G
1035	IDI1
1036	IDS
1037	IER2
1038	IER3
1039	IER5
1040	IER5L
1041	IFI16
1042	IFI27
1043	IFI27L2
1044	IFI35
1045	IFI6
1046	IFITM1
1047	IFITM2
1048	IFITM3
1049	IFNAR1
1050	IFNGR1
1051	IFRD1
1052	IFT20
1053	IGBP1
1054	IGFBP7
1055	IK
1056	IKZF1
1057	IL6ST
1058	ILF2
1059	ILF3
1060	IMP3
1061	IMP4
1062	IMPDH1
1063	IMPDH2
1064	INSIG1
1065	INSR
1066	INTS1
1067	INTS8
1068	IPO9
1069	IQGAP1
1070	IQGAP2
1071	IRAK1
1072	IRF1
1073	IRF2
1074	IRF2BP2
1075	IRF3
1076	IRF7
1077	ISCA1
1078	ISCU
1079	ISG15
1080	ISG20
1081	ISG20L2
1082	IST1
1083	ITGA6
1084	ITGAE
1085	ITGB1
1086	ITGB1BP1
1087	ITGB2
1088	ITM2A
1089	ITM2B
1090	ITM2C
1091	ITPA
1092	ITSN2
1093	IVNS1ABP
1094	JAK1
1095	JAZF1
1096	JMJD1C
1097	JTB
1098	JUN
1099	JUNB
1100	JUND
1101	KARS
1102	KAT2A
1103	KAT2B
1104	KDELR1
1105	KDELR2
1106	KDM1A
1107	KDM2A
1108	KDM5A
1109	KDM6B
1110	KHDRBS1
1111	KHSRP
1112	KIAA0930
1113	KIF1C
1114	KIF22
1115	KIF5B
1116	KLF10
1117	KLF2
1118	KLF3
1119	KLF4
1120	KLF6
1121	KLF9
1122	KLHDC2
